identificador;enunciated;link_do_video;comment;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;correct
PSUMGMG2019R11Q76;;https://vimeo.com/434089508;" Temos um pré-escolar de 4 anos que há uma semana vem evoluindo com edema generalizado e que há 2 semanas teve um quadro de IVAS. Ao exame físico visualizamos uma criança com anasarca e pressão arterial normal. Esse último dado é importante pois sempre que estivermos diante de uma criança com edema devemos fazer o diagnóstico diferencial entre as principais causas que são: GNDA (mais comumente a GNPE, que tem como principal desencadeante o streptococcus do grupo A), que consiste numa síndrome nefrítica; e a síndrome nefrótica. Como a pressão está normal, ficamos com a síndrome nefrótica como principal hipótese. Assim, diante do quadro edemigênico dessa criança, a questão nos pede a alternativa mais adequada: A – INCORRETA, um quadro como esse com edema generalizado, não é compatível com uma natureza alérgica; B – INCORRETA, não sendo síndrome nefrítica, o emprego de diuréticos para esse caso não tem importância; C – INCORRETA, mais uma vez a alternativa nos induz a pensar  numa síndrome nefrítica; D – CORRETA, como estamos diante de uma síndrome nefrótica, precisamos quantificar o grau de proteinúria, avaliar a presença de hematúria e a pesquisa da lipidúria se justifica pela elevação do colesterol sérico desses pacientes.";A) Informar aos responsáveis que o edema é de natureza alérgica secundária ao processo viral anterior.;B) Internar a criança para monitorização e uso de diurético endovenoso.;C) Recomendar repouso no leito e dieta com restrição hídrica até a resolução do edema.;D) Solicitar exame de urina rotina para pesquisa de proteinúria, hematúria e lipidúria.;;
PSUMGMG2019R11Q77;;https://vimeo.com/434089678; Estamos diante de um adolescente com um quadro de pneumonia, apesar de o quadro ter duração um pouco mais arrastada (1 semana), ele apresenta febre alta e na radiografia de tórax podemos visualizar uma condensação, achado compatível com o exame físico. Portanto, temos um quadro de pneumonia típica, provavelmente causada por germes típicos, e dentre eles o mais comum é o Streptococcus pneumoniae. Nessa faixa etária poderíamos pensar numa infecção por Mycoplasma pneumoniae, germe atípico, que, se fosse o caso, causaria um quadro de febre baixa arrastada e encontraríamos mais comumente na radiografia, achados de padrão intersticial de acometimento ou broncopneumonia, sendo os lobos inferiores mais comumente envolvidos.  Assim, diante de um paciente com pneumonia comunitária por pneumococo, sem comorbidades, sem complicações na radiografia de tórax e sem sinais de gravidade, o tratamento pode ser feito a nível ambulatorial e o medicamento de escolha é a amoxicilina por via oral. Além disso, o paciente deve ser reavaliado em 48 a 72 horas ou imediatamente em caso de piora do quadro clínico. Portanto, a resposta é a alternativa C.;A) Mycobacterium tuberculosis. Realizar teste tuberculínico, exame de cultura de escarro e iniciar tuberculostáticos.;B) Mycoplasma pneumoniae. Indicar internação, coletar exame de escarro e hemocultura para orientar a antibioticoterapia.;C) Streptococcus Pneumoniae. Iniciar Amoxacilina por via oral e agendar o retorno em 48-72 horas ou imediato se houver piora.;D) Vírus influenza. Indicar a internação, coletar hemograma e exame para pesquisa de vírus e iniciar o antiviral oseltamivir;;
PSUMGMG2019R11Q78;;https://vimeo.com/434089801;" Temos um adolescente de 14 anos, previamente hígido, com queixa de baixa estatura. A não identificação de alterações ao exame físico nos permite o afastamento de uma síndrome genética subjacente. Assim, diante de tal queixa, devemos primeiramente ver a velocidade de crescimento no último ano. Para calcularmos isso basta subtrairmos a estatura atual da estatura do ano anterior e obteremos o resultado de 8cm/ano. Esse crescimento é adequado pois ele já entrou na puberdade (Tanner: G2P2). Se ele fosse um escolar, pré-pubere, a velocidade de crescimento seria menor. Como a velocidade de crescimento é normal, podemos concluir que estamos diante de uma variante normal do crescimento, podendo se tratar de uma baixa estatura familiar. Tendo isso em mente, vamos analisar as alternativas: A – INCORRETA, não é necessário uso de hormônio do crescimento já que o crescimento está acontecendo dentro do esperado; B – INCORRETA, o suporte psicológico é necessário mas os ansiolíticos não seriam uma opção no momento; C – INCORRETA, como vimos o crescimento não está prejudicado, não necessitando de investigação adicional; D – CORRETA, como já mencionado o crescimento está adequado para a fase em que se encontra o adolescente.";A) A baixa estatura do adolescente pode ser melhorada com uso de hormônio do crescimento.;B) O adolescente necessita suporte e prescrição de ansiolíticos para ajudá-lo a conviver com o problema.;C) O crescimento está prejudicado e necessita de investigação com especialista antes da época de estirão.;D) O crescimento apresentado segue o esperado para o desenvolvimento puberal em que se encontra o adolescente.;;
PSUMGMG2019R11Q79;;https://vimeo.com/434089965; A respeito da composição das vacinas no Programa Nacional de Imunizações do Ministério da Saúde (PNI), a questão nos pede a alternativa incorreta. A – INCORRETA: temos dois tipos de vacina dupla, a dupla infantil (DT) e a dupla adulto (dT), no entanto, em ambas a proteção é contra o tétano e a difteria. B – CORRETA: essa é a composição da vacina pentavalente, que segundo o PNI é aplicada aos 2, 4 e 6 meses. C – CORRETA: a vacina tetraviral protege contra o sarampo, caxumba, rubéola e varicela. D – CORRETA: essa é a composição da tríplice viral.;A) A vacina Dupla protege contra Tétano e Coqueluche.;B) A vacina Pentavalente é uma vacina combinada contra Difteria, Tétano, Coqueluche, Hepatite B e Haemophilus influenzae tipo B.;C) A vacina Tetraviral protege contra as mesmas doenças da Tríplice Viral acrescida de Varicela.;D) A vacina Tríplice Viral protege contra Sarampo, Caxumba e Rubéola.;;
PSUMGMG2019R11Q80;;https://vimeo.com/434090072;" Temos um recém-nascido a termo, com uma semana de vida e peso ao nascer de 3400g, que apresenta um quadro de vômitos, prostração e redução da diurese. Apresentava ainda hipoglicemia, hiponatremia grave, hipercalemia, com alteração da função renal e acidose metabólica hipoclorêmica. Devemos primeiramente nos perguntar se os vômitos são causa ou consequência da hiponatremia. Uma história de apenas dois dias de vômitos não justificaria uma perda tão acentuada de sódio, assim, o mais esperado é que os vômitos sejam consequência desse distúrbio hidroeletrolítico. Diante desses achados, a hipótese mais provável é de hiperplasia adrenal congênita. Analisando as alternativas temos: A – INCORRETA, apesar de a criança não está sendo alimentada com leite materno, a fórmula infantil é adequada para alimentação, o que não justificaria a hipótese de erro alimentar; B – CORRETA, a hiperplasia adrenal congênita é uma causa de insuficiência adrenal primária e a conduta mais adequada nesse momento, seria a administração de infusão de glicose, já que a criança encontra-se com hipoglicemia, e correção da hiponatremia; C – INCORRETA, apesar da criança apresentar uma disfunção renal, essa não seria a hipótese mais provável já que todas as alterações não poderiam ser justificadas por ela; D – INCORRETA, essa hipótese não se encaixa com o quadro clinico apresentado e a restrição hídrica seria imprudente já que a criança encontra-se desidratada.";A) Erro Alimentar devendo-se administrar infusão venosa em bolus de bicarbonato de sódio e glicose.;B) Insuficiência Adrenal Primária devendo-se administrar infusão de glicose e sódio.;C) Insuficiência Renal Aguda devendo-se administrar infusão venosa de glicose.;D) Secreção Inapropriada de Hormônio Antidiurético devendo-se realizar restrição hídrica e administrar infusão venosa de glicose.;;
SESPEPE2018R11Q96;;https://vimeo.com/434091577;" A randomização é o processo de aposição aleatória dos participantes da pesquisa entre os grupos e evitar o viés de seleção que acontece se escolhemos especificamente as pessoas participantes de cada grupo estudado. Outra forma de alocar as pessoas para um estudo é o pareamento, que consiste na escolha de pessoas de características clinicas e epidemiológicas semelhantes para o grupo controle e para o grupo da intervenção. Em relação à randomização, vamos analisar os itens: I – INCORRETO, quem minimiza os vieses de observação é o mascaramento do estudo, onde teremos estudos simples-cego (quando apenas os pacientes não sabem quem recebe a intervenção), duplo-cego (tanto os pacientes como as pessoas que estão coletando os dados não sabem qual grupo está recebendo a intervenção) e o triplo-cego (o paciente, a pessoa que coleta os dados e quem analisa os dados não sabe quem são os grupos de intervenção e controle). II – CORRETO, essa é uma técnica de alocação de pessoas. III – CORRETO, à medida que colocamos pessoas aleatoriamente no estudo, podemos diminuir a chance de que efeitos externos aos estudados interfiram no estudo, atuando como fatores de confusão. IV – INCORRETO, a causalidade reversa está mais associada aos estudos transversais e acontece quando não sabemos o que veio primeiro, o fator de risco e o desfecho, portanto, como a randomização é empregada em estudos experimentais, ela não interferiria nesse problema. V – CORRETO, por exemplo, se num grupo temos pessoas mais jovens e com hábitos de vida mais saudáveis e no outro grupo pessoas mais velhas e com hábitos de vida ruins, a duração da doença será diferente nos dois grupos; Assim, randomizamos, para evitar esse tipo de viés. Portanto, como há 3 itens corretos, a resposta é a letra C.";A) Todos os itens estão corretos.;B) Existem, apenas, quatro corretos.;C) Existem, apenas, três corretos.;D) Existem, apenas, dois corretos.;E) Existe, apenas, um correto.;
SESPEPE2018R11Q97;;https://vimeo.com/434091770;" A questão nos pede a alternativa que indica um estudo prospectivo, onde acompanhamos o paciente ao longo do tempo; observacional, ou seja, não intervencionista; e analítico. Assim, vamos analisar as opções: A – INCORRETA, apesar de observacional e analítico, ele compara os pacientes doentes e os não doentes e vai em busca dos fatores de risco, retrospectivamente; B – CORRETA, apesar de termos o estudo de coorte retrospectivo, também chamado de coorte história, a coorte pode ser prospectiva, observacional e analítico; C – INCORRETA, como o próprio nome diz esse é um estudo em que faremos uma intervenção, oposto aos estudos observacionais; D e E – INCORRETAS, são usados como sinônimos, e dentro desse grupo temos dois tipos de estudo, o ecológico, onde observamos um grupo da população, e o inquérito (ou coorte transversal), onde avaliamos individualmente as pessoas em um único momento.";A) Caso controle;B) Coorte;C) Intervenção;D) Transversal;E) Seccional;
SESPEPE2018R11Q98;;https://vimeo.com/434091905;" A Curva Normal ou Curva de Gauss ou Curva Simétrica, tem como características: no seu ponto central teremos o encontro da moda (número que mais se repete), da mediana (valor que divide as duas metades das amostras) e da média. Quanto mais ampliamos os desvios padrões, mais expandimos a população abordada para determinada questão e quanto mais nos afastamos do ponto central mais raros serão os resultados obtidos. Assim, segundo a Curva Normal, quando temos +/- 1 desvio-padrão, teremos 68,26% da população; entre +/- 2 desvios-padrão, teremos 95,45% da população; e entre +/- 3 desvios-padrão, 99,73%. Assim, nossa resposta é a alternativa D.";A) 16,0%;B) 34,0%;C) 68,0%;D) 95,0%;E) 99,0%;
SESPEPE2018R11Q99;;https://vimeo.com/434092060;" A questão quer saber qual das opções corresponde a capacidade de um teste de detectar os verdadeiros positivos. A – CORRETA, a sensibilidade é a capacidade de acertarmos quem tem a doença, ou seja, os verdadeiros positivos dentre os doentes. B – INCORRETA, a especificidade diz respeito a capacidade de um teste excluir quem não tem a doença, ou seja achar os verdadeiros negativos. C – INCORRETA, diz respeito ao grau de confiabilidade do teste se ele der um resultado positivo, ou seja, a capacidade de detectar os verdadeiros positivos dentre os que tiveram resultado positivo para doença; e varia com a prevalência da doença, por exemplo, quando temos uma população com uma alta prevalência da doença, teremos um alto valor preditivo positivo. D – INCORRETA, diz respeito a quanto podemos confiar no teste quando ele mostra um resultado negativo e vai variar de acordo com a prevalência da doença, por exemplo, se estamos diante de uma população em que a prevalência de determinada doença é baixa e eu faço um teste e ele dá resultado negativo, eu posso confiar nele (valor preditivo negativo alto). E – INCORRETA, a acurácia é a capacidade de o teste acertar os verdadeiros positivos e os verdadeiros negativos.";A) Sensibilidade.;B) Especificidade.;C) Valor Preditivo Positivo.;D) Valor Preditivo Negativo.;E) Acurácia.;
SESPEPE2018R11Q100;;https://vimeo.com/434092218; Para memorização dos critérios de Bradford Hill, podemos utilizar a frase “Puts Grila, CACETE, Ferrou”, onde as letras maiúsculas correspondem a: plausibilidade biológica, gradiente biológico, coerência, analogia, consistência, especificidade, temporalidade, especificidade, evidências experimentais e força de associação. Dessa maneira, a sensibilidade não está inclusa e é nossa resposta (alternativa E).;A) Força da Associação.;B) Consistência.;C) Especificidade.;D) Temporalidade.;E) Sensibilidade.;
PSUMGMG2019R11Q97;;https://vimeo.com/434091196; Para respondermos essa questão devemos primeiramente entender o conceito de limiar endêmico. O limiar endêmico consiste na faixa de casos toleráveis durante o período de 1 ano. Por exemplo, se o limiar endêmico da dengue numa cidade for de 50.000 a 100.000 casos em um determinado ano, e forem registrados 70.000 casos, estaremos ainda dentro desse limiar endêmico. Quando o número de casos ultrapassa o limiar endêmico estamos diante do início de uma epidemia, evento chamado de egressão. A progressão é a fase que vai desde o início da epidemia, quando os números começam a aumentar, até o seu pico máximo. A estabilização é uma fase que pode estar presente ou não, e acontece quando o número de casos assume um platô, acima do limiar epidêmico. Quando a doença começa a diminuir seu número de casos até o retorno para o limiar endêmico, temos o início da regressão, que é justamente o final da epidemia. Portanto, o gabarito é a alternativa D.;A) Egressão;B) Estabilização;C) Progressão;D) Regressão;;
PSUMGMG2016R11Q89;;https://vimeo.com/434090962;" A respeito do estudo de coorte, a questão nos pergunta qual das opções não seria uma vantagem desse estudo: A – CORRETA, já que vamos pegar pessoas que já estão sofrendo aquela exposição independentemente do estudo e vamos comparar com quem não está, não vamos fornecer nova exposição; B – CORRETA, pois no estudo de coorte teremos a exposição bem conhecida e a partir disso, vamos seguir esse paciente para procurar o desfecho, diferentemente do caso controle, onde partimos do desfecho e buscamos o fator de risco; C – CORRETA, por exemplo, estudando o tabagismo como fator de risco, podemos chegar a diversos desfechos ocasionados por ele; D – INCORRETA, essa é uma desvantagem, já que o estudo de coorte vai do fator de risco até a doença,  se a doença for rara é possível que não seja encontrada; o melhor estudo para doenças raras é o de caso-controle.";A) A exposição das pessoas aos fatores de risco não constitui problema ético.;B) Os dados sobre a exposição tem melhor qualidade do que em estudos caso-controle.;C) Vários desfechos clínicos podem ser investigados simultaneamente.;D) Utilidade em estudos etiológicos de doenças raras.;;
PSUMGMG2019R11Q100;;https://vimeo.com/434091382;" Para entendermos melhor os aspectos considerados para implementação de um programa de rastreamento, tomamos como exemplo o câncer de cólon. Para tal doença o ministério da Saúde preconiza como padrão ouro a colonoscopia, devido a sua alta sensibilidade. Para a confirmação da doença devemos empregar um teste mais específicos, como por exemplo, quando identificamos um pólipo na colonoscopia e realizamos uma biópsia dessa lesão, o histopatológico vai definir se é uma lesão neoplásica ou não. Vamos analisar as alternativas. A – INCORRETA, como dito, para rastreamento a sensibilidade precisa ser maior, pois precisamos identificar todos os prováveis portadores daquela doença. B – INCORRETA, a sensibilidade e a especificidade são características inerentes ao teste que está sendo realizado, não sendo influenciados pela prevalência; o que se altera com a prevalência é o valor preditivo positivo e o valor preditivo negativo. C – INCORRETA, os testes de rastreio devem ter uma boa especificidade, mas não é essa a característica primordial. D – CORRETA, o teste deve ser sensível e o tratamento precoce deve ser vantajoso para fundamentar a implementação de um programa de rastreamento.";A) A especificidade é mais importante do que a sensibilidade para testes de rastreamento de doenças muito frequentes para evitar gastos desnecessários.;B) A sensibilidade de um teste diagnóstico é influenciada pela prevalência da doença na população e, por isso, a doença rastreada não deve ser rara.;C) O teste deve ser muito específico quando a doença tem graves consequências para os indivíduos positivos evitando-se a perda de casos.;D) O teste deve ser muito sensível e o tratamento precoce ser mais vantajoso (reduzir complicações e mortalidade) do que o tratamento tardio.;;
PSUMGMG2019R11Q93;;https://vimeo.com/434091092; A respeito da relação entre transtornos mentais e trabalho, a questão nos pede a alternativa incorreta. As letras A,B e C estão conceitualmente corretas. A letra D é a nossa resposta e o erro se deve ao fato de que não são todos os trabalhadores com diagnóstico de transtorno mental que devem ser encaminhados ao INSS para perícia médica após emissão da CAT. Tal fluxo é indicado apenas para os trabalhadores que desenvolveram um transtorno mental relacionado a atividade laborativa.;A) Depressão, estado de stress pós-traumático e transtorno do ciclo vigília-sono estão entre os agravos reconhecidos pelo Ministério da Saúde como potencialmente relacionados ao trabalho.;B) Exaustão emocional, despersonalização e redução de realização profissional integram as manifestações clássicas da Síndrome de Burnout.;C) Transtornos mentais representam importante causa de afastamento do trabalho pelo Instituto Nacional do Seguro Social (INSS).;D) Trabalhadores com diagnóstico de transtorno mental devem ser encaminhados ao Instituto Nacional do Seguro Social (INSS) para realização de perícia médica após emissão da Comunicação de Acidentes de Trabalho (CAT).;;
PSUMGMG2016R11Q84;;https://vimeo.com/434090841; A respeito das Lesões por Esforços Repetitivos – Distúrbios Osteomusculares Relacionados ao Trabalho (LER-DORT), a questão nos pede a alternativa incorreta. É válido ressaltar que para definição desses tipos de lesões devemos excluir as lesões agudas relacionadas ao trabalho, já que como o próprio nome diz essas lesões são resultado do esforço repetitivo. Com apenas esse conceito básico, já podemos ver que a resposta está na alternativa D.;A) Normas de produção, modo operatório, exigências de tempo, ritmo de trabalho e conteúdo das tarefas estão entre seus principais determinantes.;B) O reconhecimento dos quadros de LER-DORT pelo INSS aumentou com a instituição do Nexo Técnico Epidemiológico Previdenciário (NETEP).;C) Dentre as ações de saúde do trabalhador a serem desenvolvidas pelo Sistema Único de Saúde (SUS) está a reabilitação física dos trabalhadores com Distúrbios Osteomusculares Relacionados ao Trabalho.;D) Os distúrbios clínicos que acompanham os quadros de LER-DORT resultam de lesões agudas do sistema osteomuscular.;;
SESPEPE2018R11Q6;;https://vimeo.com/434103209; Temos um paciente com uma síndrome inflamatória sistêmica crônica, rinossinusite e um quadro atípico de asma, considerado assim por ter iniciado tardiamente e apresentar difícil controle. Ao exame físico ele apresenta uma vasculite e uma mononeurite multiplex, justificada por uma vasculite da vasa nervorum (vasos que irrigam os nervos periféricos). Assim, podemos dizer que essa combinação de sinais e sintomas fazem parte da poliangeíte eosinofílica (ou vasculite de Churg-Strauss), uma vasculite com pANCA positivo e com uma participação marcante dos eosinófilos na patogenia da doença, por isso, na biópsia cutânea, teremos o achado de vasculite necrotizante com infiltrado eosinofílico (A, C e E – CORRETAS). É valido lembrar que as vasculites pANCA positivas são também chamadas de paucimunes, ou seja, não consomem complemento, apresentando níveis normais (B – INCORRETA). Nessa doença é comum encontrarmos na tomografia de tórax a presença de infiltrados e nódulos pulmonares não cavitários (D – CORRETA).;A) Eosinofilia >1500/mm³.;B) Níveis reduzidos de complemento.;C) pANCA positivo.;D) Tomografia de tórax mostrando infiltrados e nódulos pulmonares não cavitários.;E) Biópsia cutânea, mostrando vasculite necrotizante com infiltrado eosinofilico.;
SESPEPE2018R11Q8;;https://vimeo.com/434103408; O rastreio do câncer de cólon para a população geral começa a partir dos 50 anos. No entanto, pacientes que possuem história familiar de parente de primeiro grau que possuem câncer de cólon ou adenoma de alto grau antes dos 60 anos, o rastreio passa a ser a partir dos 40 anos ou 10 anos antes da idade em que o câncer foi diagnosticado. Assim, o paciente da questão poderia ter começado seu rastreio aos 32 ou aos 40 anos, mas como 32 anos vem primeiro, essa seria a idade de escolha. Portanto, como ainda não realizou nenhum exame, ele deve iniciar o seu rastreio agora, com a realização de colonoscopia a cada 5 anos, devido a história familiar de câncer de cólon antes dos 60 anos. Se ele fizesse parte da população de baixo risco, a colonoscopia é realizada no intervalo de 10 anos. Com isso, ficamos como resposta a alternativa A.;A) Realizar colonoscopia agora e, caso normal, repetir a cada cinco anos.;B) Programar uma colonoscopia aos 40 anos e, caso normal, repetir a cada 10 anos.;C) Realizr colonoscopia anual até os 50 anos e, depois disso, a cada três anos.;D) Realizar dosagens anuais do CEA, e colonoscopia a cada três anos.;E) Realizar colonoscopia agora e, caso seja detectado algum adenoma, indicar colectomia.;
SESPEPE2018R11Q9;;https://vimeo.com/434103663; Temos um caso de uma mulher com um quadro clássico de enxaqueca, ou também chamada de migrânea. Vamos pensar nesse diagnóstico quando estivermos diante de uma mulher jovem com cefaleia de intensidade moderada a alta, hemicraniana, pulsátil, associada a vômitos e náuseas, com duração de 4 a 72h e podendo ser precedida por auras (mais comumente visuais). No tratamento da crise podemos inicialmente lançar mão de analgésicos convencionais e AINEs, porém como a paciente não tem uma resposta importante a essas drogas, temos como uma terceira opção o uso de triptanos, sendo o principal representante o sumatriptano (A – CORRETA). A amitriptilina, o propranolol e o topiramato fazem parte do arsenal terapêutico da profilaxia da crise de enxaqueca, só sendo indicada quando o paciente apresenta 3 ou mais crises, o que não seria o caso (B,C e D – INCORRETAS). Em relação ao verapamil, ele é utilizado no tratamento das cefaleias de componente neuropático, como a cefaleia em salvas (E – INCORRETA).;A) Sumatriptano precocemente nas crises de cafaleia ou das queixas visuais.;B) Amitriptilina 10 mg à noite.;C) Propranolol 40mg duas vezes por dia.;D) Topiramato precocemente nas crises de cefaleia ou das queixas visuais.;E) Verapamil 120mg/dia.;
SESPEPE2018R11Q10;;https://vimeo.com/434103847;" Pela descrição de presença de um sopro diastólico em foco mitral, numa paciente mulher jovem e na nossa região, endêmica para febre reumática, devemos pensar em estenose mitral. A mesma paciente queixa-se de palpitação e tem, na ausculta, a presença de um ritmo irregularmente irregular, característico de fibrilação atrial. A primeira coisa que temos que definir é se o paciente que se encontra taquicárdico está estável ou instável hemodinamicamente (edema agudo de pulmão, alteração do nível de consciência, síncope, hipotensão/choque ou angina refratária). Assim, como ela não se encontra instável hemodinamicamente, a cardioversão elétrica não é necessária (D – INCORRETA). Com isso, temos que o primeiro passo diante de um paciente com FA e estável, é controle da frequência cardíaca, podendo fazer uso de betabloqueadores ou antagonistas do canal de cálcio cardiosseletivo, como o diltiazem (A – CORRETA). Além disso, na presença de uma FA de &gt;48 horas, não devemos fazer antiarrítmicos afim de reverter o quadro, pois há um risco elevado de evento cardioembólicos, causando, por exemplo, um AVE (B – INCORRETA). O ecocardiograma transesofágico é uma das ferramentas utilizadas para excluir a possibilidade de trombo em átrio esquerdo, no planejamento de uma cardioversão, no entanto, tal exame não seria aplicável a essa paciente (C – INCORRETA). A anticoagulação não é realizada como primeira medida no contexto da emergência, além disso, o Warfarin demora de 3 a 5 dias para atingir seu efeito pleno, assim, não haveria nenhum benefício de seu início imediato para o caso (E – INCORRETA).";A) Diltiazem.;B) Amiodarona.;C) Ecocardiograma transesofágico.;D) Cardioversão elétrica.;E) Warfarin.;
PSUMGMG2019R11Q7;;https://vimeo.com/434102190;" Temos um paciente doente renal crônico com um quadro de monoartrite aguda, com achados inflamatórios sugestivos nos exames laboratoriais. Assim, foi corretamente indicada a artrocentese, para avaliação desse líquido articular. A análise do líquido sinovial evidenciou uma quantidade de leucócitos inferior a esperada para um quadro de artrite séptica (&gt;50.000) e não apresenta bactérias no Gram ou na cultura, afastando a hipótese de artrite séptica. Como houve visualização de cristais de monourato de sódio, podemos dizer que se trata de uma monoartrite gotosa. Embora a primeira manifestação mais comum da Gota seja a podagra (acometimento de primeira articulação metatarso-falangiana), a segunda articulação mais comumente acometida é o joelho. Sabendo disso, vamos analisar as opções: A – CORRETA, a colchicina é um dos medicamentos utilizados na crise de artrite gotosa, no entanto, para esse paciente devemos nos atentar com o ClCr. B – INCORRETA, os AINEs e os corticoides podem ser utilizados para casos como esses, no entanto, com a presença de um ClCr baixo o uso de AINEs está contraindicado; classicamente o alopurinol não era indicado nas crises de gota, por piorar o quadro clínico, porém, na última publicação do colégio Americano de Reumatologia, o alopurinol pode ser sugerido na crise, para aumentar a aderência ao tratamento e os estudos mostraram pouca piora da artrite nesses casos.  C e D – INCORRETAS, como afastamos uma artrite séptica pela cultua e Gram negativos, podemos afastar tais hipóteses.";A) A colchicina pode ser utilizada no tratamento da dor e dos sinais flogísticos.;B) A prescrição inicial deve incluir antiinflamatório não esteroidal e alopurinol como agente redutor de ácido úrico.;C) O paciente apresenta artrite séptica e deve ser iniciado o tratamento com ceftriaxona intravenosa.;D) O principal agente etiológico é a Neisseria gonorrhoeae.;;
PSUMGMG2019R11Q8;;https://vimeo.com/434102360;" O rastreio para osteoporose está indicado para todas as mulheres após a menopausa ou se &gt; 65 anos e homens com idade &gt; 70 anos. Antes dessa faixa etária apenas se tiver um grande risco de osteoporose. O T-score é um escore que compara adultos saudáveis de mesma raça e mesmo sexo e é utilizado como exame para diagnóstico e rastreio de osteoporose. Sempre que verificarmos a presença de osteoporose, ou seja, T-score ? -2,5, histórias de fraturas por fragilidade (fraturas de quadril ou de corpo vertebral) ou se tiver osteopenia com um alto risco de fratura, o tratamento deve ser instituído. Como essa paciente apresenta osteoporose, vamos iniciar o tratamento. Dentre as medidas não farmacológicas a serem implementadas, temos o aumento da ingesta de cálcio e vitamina D, interrupção do tabagismo e do etilismo, e atividades físicas. No tratamento farmacológico as drogas de escolha são as antirreabsortivas, que inibem os osteoclastos, representadas pelo grupo dos bifosfonatos, pelos moduladores dos receptores estrógeno (ex. raloxifeno) e o anticorpo monoclonal (que atua inibindo os receptores RANKL, inibindo assim os osteoclastos). Além disso, temos as drogas anabólicas, cujo principal representante é o teriparatide, um hormônio análogo do PTH. Sabendo disso, vamos analisar as alternativas: A e B– INCORRETAS, a paciente apresenta osteoporose e não osteopenia; C – INCORRETA, os bisfofonatos serão contraindicados caso o ClCr seja &lt;30-35 mL/min, o que seria o caso da paciente; D – CORRETA, o denosumab é um anticorpo monoclonal que inibe o RANKL e que não tem eliminação por via renal, podendo ser usado na insuficiência renal.";A) A paciente tem osteopenia e apenas deve ser orientada quanto aos fatores de risco como interrupção do tabagismo.;B) A paciente tem osteopenia, e o tratamento consiste na reposição de vitamina D, cálcio e na modificação dos fatores de risco.;C) A paciente tem osteoporose e pode ser tratada com bifosfonados.;D) A paciente tem osteoporose e pode ser tratada com denosumab para redução do risco de fraturas.;;
PSUMGMG2019R11Q9;;https://vimeo.com/434102642;" Segundo a gasometria o paciente apresenta uma acidose e para saber se o distúrbio primário é respiratório ou metabólico, devemos olhar a pCO2 e o bicarbonato. Assim, como a pCO2 encontra-se normal (entre 35 e 45) e o bicarbonato está baixo (normal: 22- 28), essa é uma acidose metabólica. Em seguida devemos avaliar o ânion-gap, e para calcularmos tal valor, devemos pegar o valor de sódio e subtrair pela soma do cloro com o bicarbonato, fazendo isso obtemos um resultado de 8 (normal entre 8 e 12). Para avaliarmos se a resposta respiratória está adequada para o grau de acidose, devemos calcular o pCO2 esperado (pCO2 esperado=1,5xHCO3 + 8) que foi de 26. Como o paciente apresenta o pCO2 de 36 e o esperado era de 26, isso significa que ele está retendo mais do que o esperado, configurando uma acidose respiratória e com isso, um distúrbio misto. Sabendo disso, vamos analisar as alternativas: A – CORRETA, a fadiga da musculatura respiratória está resultando numa acidose respiratória, não conseguindo compensar a acidose metabólica; B – CORRETA, pode ser que a acidose metabólica ainda esteja no início e o pulmão ainda vai começar a liberar esse excesso de pCO2 para tentar trazer o pH à normalidade; C – INCORRETA, pois essas são causas de acidose metabólica com ânion gap aumentado; D – CORRETA, exatamente como mencionado anteriormente.";A) Esse paciente pode estar com fadiga da musculatura respiratória e não conseguir compensar a acidose metabólica mantida.;B) Pode se tratar de fase inicial da acidose metabólica aguda sem tempo suficiente para compensação respiratória.;C) Pode se tratar de cetoacidose diabética ou acidose láctica.;D) Pode se tratar de distúrbio ácido-base misto, com acidose metabólica e acidose respiratória (doença das vias aéreas ou neurológica).;;
